2.414875	5.758549	C1
3.900952	8.034104	D1
12.863855	24.706032	ARANAGME_1
24.984671	29.303583	B1
29.582222	33.529615	C1
33.343855	37.662766	D1
42.538957	46.718549	F1
47.090068	50.898141	G1
51.316100	55.170612	D1
67.430748	71.331701	E2
69.752744	72.817778	C1
72.585578	84.659955	ARANAGME_1
85.356553	89.303946	B1
90.046984	93.994376	C1
94.412336	98.220408	D1
98.870567	102.957279	E1
103.235918	107.601270	F1
107.601270	112.059501	G1
112.059501	115.914014	D1
116.424853	120.604444	E2
132.446621	136.811973	E2
188.453152	191.936145	D1
192.493424	196.162177	E2
201.131247	204.892880	G1
205.078640	209.304671	D1
209.722630	214.877460	E2
